...1,Authors (Year),ID,Site,Lat,Long,Management_(OA_MPA_MEARB_Other),Temporal_Scale,Mean kelp,Mean no Kelp,Mean + one error bar Kelp,Mean + one error bar no Kelp,Error Kelp,Error no-Kelp,Error Type,Variable,N (Kelp),N (no-kelp),Unit Dimensions,Area (m2),Notes on Type of study,Comments,Kelp Taxon,Clearing Size (m^2),Time Until Resampling (days),Mean Depth (m),Inferred Mechanism of Clearing (experiment_storm_heat wave_barren_kelp addition),Type of Study (Experimental_ObservatioNAl),"Observational Study Type (Spatial, Temporal)",Single Species? (yes/no),Total Abundance? (yes/no),Species Richness? (yes/no),Biomass? (yes/no),Clearing Response (algae_barren_kelp),"Survey Type (quadrat, transect, video, photo, Net/Trap)",Short Variable Description,Latititude in Decimal Degrees,Longitude in Decimal Degrees,"Juvenile, Adult, Both",sample unit area (m^2),Total Area Sampled per Treatment (m^2: n*replicate area),Mean kelp t0,Mean no Kelp t0,Mean + one error bar Kelp t0,Mean + one error bar no Kelp t0,Error Kelp t0,Error no-Kelp t0,Error Type t0,Date of t0 (dd/mm/yyyy),Fish Species,Order,Family,Trophic level,Trophic group,Total Lenght (cm),Biomass (gr),Habitat Association (Benthic-Pelagic-Demersal)
602,Perez-Matus et al. (2012),29,Lagunillas (Northern Chilean coast),-30.083,-70.5,OA,SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010,8,6.25,NA,NA,2,0.25,SE,Mean Species Richness,8,8,NA,200,Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes,From OrigiNAl data set,"Macrocystis pyrifera, Lessonia trabeculata",NA,NA,2 to 16,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-30.083,-70.5,Adult,200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603,Perez-Matus et al. (2012),29,Lagunillas (Northern Chilean coast),-30.083,-70.5,OA,SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010,7,5.5,NA,NA,0.5,0.25,SE,Mean Species Richness,8,8,NA,200,Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes,From OrigiNAl data set,"Macrocystis pyrifera, Lessonia trabeculata",NA,NA,2 to 22,NA,Observational,Spatial,no,yes,no,no,no,Transect,Mean abundance of Fish Assemblage,-30.083,-70.5,Both,200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
604,Syms and Jones (1999),49,At the Cape Rodney to Okakari point (Northeastern coast of New Zeland),-36.276,174.83,MR,October 1990-November 1991,0.28,0.16,0.3,0.18,0.02,0.02,SE,Mean proportion of individuals of N. segmentatus,36,36,NA,50,To quantify how stability changes with scale and type of disturbance,Fig. 1 a y b,Ecklonia radiata,NA,NA,"9,5",barren,Observational,Spatial,yes,no,no,no,no,transect,Mean proportion of individuals,-36.276,174.83,Both,50,1600,NA,NA,NA,NA,NA,NA,NA,NA,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
605,Syms and Jones (1999),49,At the Cape Rodney to Okakari point (Northeastern coast of New Zeland),-36.276,174.83,MR,October 1990-November 1991,0.16,0.01,0.18,0.02,0.02,0.01,SE,Mean proportion of individuals of P. laticlavius,36,36,NA,50,To quantify how stability changes with scale and type of disturbance,Fig. 1 a y b,Ecklonia radiata,NA,NA,"9,5",barren,Observational,Spatial,yes,no,no,no,no,transect,Mean proportion of individuals,-36.276,174.83,Both,50,1600,NA,NA,NA,NA,NA,NA,NA,NA,Pictilabrus laticlavius,Perciformes,Labridae,"3,5",invertivore,23,NA,Demersal
606,Syms and Jones (1999),49,At the Cape Rodney to Okakari point (Northeastern coast of New Zeland),-36.276,174.83,MR,October 1990-November 1991,0.1,0.48,0.12,0.52,0.02,0.04,SE,Mean proportion of individuals of R. whero,36,36,NA,50,To quantify how stability changes with scale and type of disturbance,Fig. 1 a y b,Ecklonia radiata,NA,NA,"9,5",barren,Observational,Spatial,yes,no,no,no,no,transect,Mean proportion of individuals,-36.276,174.83,Both,50,1600,NA,NA,NA,NA,NA,NA,NA,NA,Ruanoho whero,Blenniiformes,Tripterygiidae,"3,2",invertivore,9,NA,Benthopelagic
607,Syms and Jones (1999),49,At the Cape Rodney to Okakari point (Northeastern coast of New Zeland),-36.276,174.83,MR,October 1990-November 1991,0.08,0.23,0.09,0.24,0.01,0.01,SE,Mean proportion of individuals of F. varium,36,36,NA,50,To quantify how stability changes with scale and type of disturbance,Fig. 1 a y b,Ecklonia radiata,NA,NA,"9,5",barren,Observational,Spatial,yes,no,no,no,no,transect,Mean proportion of individuals,-36.276,174.83,Both,50,1600,NA,NA,NA,NA,NA,NA,NA,NA,Forsterygion varium,Blenniiformes,Tripterygiidae,"3,4",invertivore,13,"37,90215382",Demersal
608,Syms and Jones (1999),49,At the Cape Rodney to Okakari point (Northeastern coast of New Zeland),-36.276,174.83,MR,October 1990-November 1991,0.03,0,0.04,0.01,0.01,0.01,SE,Mean proportion of individuals of F. lapillum,36,36,NA,50,To quantify how stability changes with scale and type of disturbance,Fig. 1 a y b,Ecklonia radiata,NA,NA,"9,5",barren,Observational,Spatial,yes,no,no,no,no,transect,Mean proportion of individuals,-36.276,174.83,Both,50,1600,NA,NA,NA,NA,NA,NA,NA,NA,Forsterygion lapillum,Blenniiformes,Tripterygiidae,"3,2",invertivore,"6,7","1,884258447",Benthopelagic
609,Syms and Jones (1999),49,At the Cape Rodney to Okakari point (Northeastern coast of New Zeland),-36.276,174.83,MR,October 1990-November 1991,0,0.03,0,0.03,0,0,SE,Mean proportion of individuals of F. malcolmi,36,36,NA,50,To quantify how stability changes with scale and type of disturbance,Fig. 1 a y b,Ecklonia radiata,NA,NA,"9,5",barren,Observational,Spatial,yes,no,no,no,no,transect,Mean proportion of individuals,-36.276,174.83,Both,50,1600,NA,NA,NA,NA,NA,NA,NA,NA,Forsterygion malcolmi,Perciformes,Tripterygiidae,"3,44",invertivore,"12,2",NA,demersal
610,Syms and Jones (1999),49,At the Cape Rodney to Okakari point (Northeastern coast of New Zeland),-36.276,174.83,MR,October 1990-November 1991,0,0.01,NA,0.01,NA,0,SE,Mean proportion of individuals of F. flavonigrum,36,36,NA,50,To quantify how stability changes with scale and type of disturbance,Fig. 1 a y b,Ecklonia radiata,NA,NA,"9,5",barren,Observational,Spatial,yes,no,no,no,no,transect,Mean proportion of individuals,-36.276,174.83,Both,50,1600,NA,NA,NA,NA,NA,NA,NA,NA,Forsterygion flavonigrum,Blenniiformes,Tripterygiidae,"3,28",invertivore,5,NA,Demersal
611,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,691,688.82,700.49,698.31,9.49,9.49,SE,Mean abundance of recruits of F. varium in control and disturbed (macroalgal removal) quadrats,6,6,NA,100,To quantify how stability changes with scale and type of disturbance,Fig 9 d,Ecklonia radiata,100,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,100,600,NA,NA,NA,NA,NA,NA,NA,10-01-90,Forsterygion varium,Blenniiformes,Tripterygiidae,"3,4",invertivore,13,"37,90215382",Demersal
612,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,653.63,706.03,691.59,720.27,37.96,14.24,SE,Mean abundance of recruits of R. whero in control and disturbed (macroalgal removal) quadrats,6,6,NA,100,To quantify how stability changes with scale and type of disturbance,Fig 9 d,Ecklonia radiata,100,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,100,600,NA,NA,NA,NA,NA,NA,NA,10-01-90,Ruanoho whero,Blenniiformes,Tripterygiidae,"3,2",invertivore,9,NA,Benthopelagic
613,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,647.1,633.05,677.95,656.78,30.85,23.73,SE,Mean abundance of recruits of N. segmentatus in control and disturbed (macroalgal removal) quadrats,6,6,NA,100,To quantify how stability changes with scale and type of disturbance,Fig 9 d,Ecklonia radiata,100,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,100,600,NA,NA,NA,NA,NA,NA,NA,10-01-90,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
614,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,125.64,76.01,208.7,151.94,83.06,75.93,SE,Mean abundance of recruits of F. lapillum in control and disturbed (macroalgal removal) quadrats,6,6,NA,100,To quantify how stability changes with scale and type of disturbance,Fig 9 d,Ecklonia radiata,100,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,100,600,NA,NA,NA,NA,NA,NA,NA,10-01-90,Forsterygion lapillum,Blenniiformes,Tripterygiidae,"3,2",invertivore,"6,7","1,884258447",Benthopelagic
615,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,1,392.21,66.92,444.41,65.92,52.2,SE,Mean abundance of recruits of P. laticlaviusin control and disturbed (macroalgal removal) quadrats,6,6,NA,100,To quantify how stability changes with scale and type of disturbance,Fig 9 d,Ecklonia radiata,100,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,100,600,NA,NA,NA,NA,NA,NA,NA,10-01-90,Pictilabrus laticlavius,Perciformes,Labridae,"3,5",invertivore,23,NA,Demersal
616,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,175.67,175.11,184.72,177.53,9.05,2.42,SE,Mean abundance of recruits of F. varium in control and disturbed (macroalgal removal) quadrats,6,6,NA,25,To quantify how stability changes with scale and type of disturbance,Fig 9 e,Ecklonia radiata,25,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,25,150,NA,NA,NA,NA,NA,NA,NA,10-01-90,Forsterygion varium,Blenniiformes,Tripterygiidae,"3,4",invertivore,13,"37,90215382",Demersal
617,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,164.96,165.61,174.01,170.44,9.05,4.83,SE,Mean abundance of recruits of R. whero in control and disturbed (macroalgal removal) quadrats,6,6,NA,25,To quantify how stability changes with scale and type of disturbance,Fig 9 e,Ecklonia radiata,25,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,25,150,NA,NA,NA,NA,NA,NA,NA,10-01-90,Ruanoho whero,Blenniiformes,Tripterygiidae,"3,2",invertivore,9,NA,Benthopelagic
618,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,147.62,157.32,165.11,162.14,17.49,4.82,SE,Mean abundance of recruits of N. segmentatus in control and disturbed (macroalgal removal) quadrats,6,6,NA,25,To quantify how stability changes with scale and type of disturbance,Fig 9 e,Ecklonia radiata,25,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,25,150,NA,NA,NA,NA,NA,NA,NA,10-01-90,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
619,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,0.25,11.48,0.25,35.61,0,24.13,SE,Mean abundance of recruits of F. lapillum in control and disturbed (macroalgal removal) quadrats,6,6,NA,25,To quantify how stability changes with scale and type of disturbance,Fig 9 e,Ecklonia radiata,25,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,25,150,NA,NA,NA,NA,NA,NA,NA,10-01-90,Forsterygion lapillum,Blenniiformes,Tripterygiidae,"3,2",invertivore,"6,7","1,884258447",Benthopelagic
620,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,10.98,103.93,35.71,119.01,24.73,15.08,SE,Mean abundance of recruits of P. laticlaviusin control and disturbed (macroalgal removal) quadrats,6,6,NA,25,To quantify how stability changes with scale and type of disturbance,Fig 9 e,Ecklonia radiata,25,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,25,150,NA,NA,NA,NA,NA,NA,NA,10-01-90,Pictilabrus laticlavius,Perciformes,Labridae,"3,5",invertivore,23,NA,Demersal
621,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,18.67,28.06,22.14,28.99,3.47,0.93,SE,Mean abundance of recruits of F. varium in control and disturbed (macroalgal removal) quadrats,6,6,NA,4,To quantify how stability changes with scale and type of disturbance,Fig 9 f,Ecklonia radiata,4,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,4,24,NA,NA,NA,NA,NA,NA,NA,10-01-90,Forsterygion varium,Blenniiformes,Tripterygiidae,"3,4",invertivore,13,"37,90215382",Demersal
622,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,23.68,22.18,26.92,24.61,3.24,2.43,SE,Mean abundance of recruits of R. whero in control and disturbed (macroalgal removal) quadrats,6,6,NA,4,To quantify how stability changes with scale and type of disturbance,Fig 9 f,Ecklonia radiata,4,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,4,24,NA,NA,NA,NA,NA,NA,NA,10-01-90,Ruanoho whero,Blenniiformes,Tripterygiidae,"3,2",invertivore,9,NA,Benthopelagic
623,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,14.33,20.82,16.41,24.53,2.08,3.71,SE,Mean abundance of recruits of N. segmentatus in control and disturbed (macroalgal removal) quadrats,6,6,NA,4,To quantify how stability changes with scale and type of disturbance,Fig 9 f,Ecklonia radiata,4,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,4,24,NA,NA,NA,NA,NA,NA,NA,10-01-90,Notoclinops segmentatus,Blenniiformes,Tripterygiidae,"3,32",invertivore,"4,4",NA,Demersal
624,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,0.4,4.87,0.4,8.35,0,3.48,SE,Mean abundance of recruits of F. lapillum in control and disturbed (macroalgal removal) quadrats,6,6,NA,4,To quantify how stability changes with scale and type of disturbance,Fig 9 f,Ecklonia radiata,4,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,4,24,NA,NA,NA,NA,NA,NA,NA,10-01-90,Forsterygion lapillum,Blenniiformes,Tripterygiidae,"3,2",invertivore,"6,7","1,884258447",Benthopelagic
625,Syms and Jones (1999),49,Alphabet Bay (At the Cape Rodney to Okakari point Northeastern coast of New Zeland),-36.276,174.83,MR,December 1990-October 1991,0.4,4.9,0.4,8.37,0,3.47,SE,Mean abundance of recruits of P. laticlaviusin control and disturbed (macroalgal removal) quadrats,6,6,NA,4,To quantify how stability changes with scale and type of disturbance,Fig 9 f,Ecklonia radiata,4,7,"9,5",experiment,Experimental,Temporal,yes,no,no,no,Kelp,transect,Mean abundance,-36.276,174.83,Juvenile,4,24,NA,NA,NA,NA,NA,NA,NA,10-01-90,Pictilabrus laticlavius,Perciformes,Labridae,"3,5",invertivore,23,NA,Demersal
626,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-77,5.235,0.12,6.415,0.21,1.18,0.09,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
627,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-78,5.945,1.13,7.14,1.54,1.195,0.41,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
628,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-79,8.905,0.33,10.16,0.54,1.255,0.21,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
629,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-80,6.485,0.25,7.94,0.35,1.455,0.1,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
630,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-77,5.235,1.19,6.415,1.65,1.18,0.46,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
631,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-78,5.945,1.2,7.14,1.69,1.195,0.49,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
632,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-79,8.905,3.08,10.16,4.02,1.255,0.94,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
633,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-80,6.485,1.39,7.94,1.86,1.455,0.47,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
634,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-77,5.235,0,6.415,0,1.18,0,SE,Mean density of juvenile of P. celidotus,10,5,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
635,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-78,5.945,1.22,7.14,1.69,1.195,0.47,SE,Mean density of juvenile of P. celidotus,10,5,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
636,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-79,8.905,0.42,10.16,0.68,1.255,0.26,SE,Mean density of juvenile of P. celidotus,10,5,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
637,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-80,6.485,1.03,7.94,1.03,1.455,0,SE,Mean density of juvenile of P. celidotus,10,5,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
638,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-77,5.235,0.64,6.415,1.08,1.18,0.44,SE,Mean density of juvenile of P. celidotus,10,5,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
639,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-78,5.945,0,7.14,0,1.195,0,SE,Mean density of juvenile of P. celidotus,10,5,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
640,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-79,8.905,0,10.16,0,1.255,0,SE,Mean density of juvenile of P. celidotus,10,5,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
641,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-80,6.485,0,7.94,0,1.455,0,SE,Mean density of juvenile of P. celidotus,10,5,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
642,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-77,3.2,0.12,3.95,0.21,0.75,0.09,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
643,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-78,1.49,1.13,1.98,1.54,0.49,0.41,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
644,Jones (1984),54,Cape Rodney to Okakari point Northeastern coast of New Zeland,-36.276,174.83,MR,Mar-79,3.41,0.33,4.28,0.54,0.87,0.21,SE,Mean density of juvenile of P. celidotus,10,10,NA,500,How variable is recruitment between habitats between locations within habitats and between years,Fig. 2,Ecklonia radiata,NA,NA,11,NA,Observational,Temporal,Yes,no,no,No,no,Transect,Abundance of Pseudolabrus celidotus,-36.276,174.83,Juvenile,500,5000,NA,NA,NA,NA,NA,NA,NA,NA,Notolabrus celidotus,Eupercaria,Labridae,"3,3",invertivore,"23,9","132,4439196",Demersal
