"Kelp.Taxon","X","Authors..Year.","ID","Site","Lat","Long","Management_.OA_MPA_MEARB_Other.","Temporal_Scale","Mean.kelp","Mean.no.Kelp","Mean...one.error.bar.Kelp","Mean...one.error.bar.no.Kelp","Error.Kelp","Error.no.Kelp","Error.Type","Variable","N..Kelp.","N..no.kelp.","Unit.Dimensions","Area..m2.","Notes.on.Type.of.study","Comments","Clearing.Size..m.2.","Time.Until.Resampling..days.","Mean.Depth..m.","Inferred.Mechanism.of.Clearing..experiment_storm_heat.wave_barren_kelp.addition.","Type.of.Study..Experimental_ObservatioNAl.","Observational.Study.Type..Spatial..Temporal.","Single.Species...yes.no.","Total.Abundance...yes.no.","Species.Richness...yes.no.","Biomass...yes.no.","Clearing.Response..algae_barren_kelp.","Survey.Type..quadrat..transect..video..photo..Net.Trap.","Short.Variable.Description","Latititude.in.Decimal.Degrees","Longitude.in.Decimal.Degrees","Juvenile..Adult..Both","sample.unit.area..m.2.","Total.Area.Sampled.per.Treatment..m.2..n.replicate.area.","Mean.kelp.t0","Mean.no.Kelp.t0","Mean...one.error.bar.Kelp.t0","Mean...one.error.bar.no.Kelp.t0","Error.Kelp.t0","Error.no.Kelp.t0","Error.Type.t0","Date.of.t0..dd.mm.yyyy.","Fish.Species","Order","Family","Trophic.level","Trophic.group","Total.Lenght..cm.","Biomass..gr.","Habitat.Association..Benthic.Pelagic.Demersal.","sd_kelp","sd_nokelp","rawLR","LR","VLR","Hedges.G","VHedges.G","Patch","Height..m.","Single.or.Multi.Stipe","Erect.or.Prostrate","Epibiont.Load.Potential","Comment","len","ECOREGION","PROVINCE","REALM"
"Macrocystis pyrifera",1385,"Villegas et al. (2019)","","Chipana Bay, Northern Chile",-21.333,-71.083,NA,"2007",1.905,0.571,2.18,0.734,0.275,0.163,"SE","Scartichthys spp. Density (Nº ind./9m2)",3,3,"3*3","9","Fish abundance, composition and spatial distribution were recorded weekly between 15 February 2007 and 11 April 2007","Fig. 2 Mean abundance of all six fish species (N fish/9 m2 ) recorded in experimental (forested) and control (barren) plots. The values correspond to mean ± SD (n = 15);",NA,7,15,"kelp addition","Experimental","Spatial","no","yes","yes","no","no","Quadrat","Fish density (Nº ind./9m^2)",-21.333,-71.083,"Both",9,54,"na","na","na","na","na","na","na","na","Scartichthys spp.","Blenniiformes"," Blenniidae","2,56","Omnivore","22","na","Benthic",0.476313972081441,0.282324281633727,0.614721031030391,0.614721031030391,0.0197265615270832,2.71855148579528,1.28254351507664,"Single","30","Multi","Erect","High",NA,7,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera",1391,"Villegas et al. (2019)","","Chipana Bay, Northern Chile",-21.333,-71.083,NA,"2007",3.714,0.586,4.3,0.785,0.586,0.199,"SE","Total fish density (Nº ind./9m2)",21,21,"3*3","9","Fish abundance, composition and spatial distribution were recorded weekly between 15 February 2007 and 11 April 2007","Fig. 2 Mean abundance of all six fish species (N fish/9 m2 ) recorded in experimental (forested) and control (barren) plots. The values correspond to mean ± SD (n = 15);",NA,7,15,"kelp addition","Experimental","Spatial","no","yes","yes","no","no","Quadrat","Fish density (Nº ind./9m^2)",-21.333,-71.083,"Both",9,54,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2.68538935724412,0.911932563296212,1.08932168130128,1.08932168130128,0.0311965619556059,1.53035815604468,0.123119001021101,"Single","30","Multi","Erect","High",NA,7,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Carpophyllum maschalocarpum , Cystophora spp",570,"Perez-Matus and Shima (2010)","28","Kau Bay, Wellington harbour ",-41.33333333,174.8,"OA","2 Month",3.35,2.75,NA,NA,0.95,1.02,"SE","Mean Species Richness",4,4,"","4","9 treatments, 8 have kelp versus 1 kelp were removed ","",5,7,6,"kelp addition","Experimental","Spatial","no","no","yes","no","kelp","transect","Species Richness",-41.33333333,174.8,"Both",4,16,"1,37","0",NA,NA,"0,24","0","SE","12-04-06",NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.04,0.148420005118273,0.148420005118273,0.121678543532831,0.264389496013917,0.504368862850156,"Mixed","16.5","Multi","Erect","High",NA,120,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Macrocystis pyrifera, Carpophyllum maschalocarpum , Cystophora spp",571,"Perez-Matus and Shima (2010)","28","Taputeranga MR, Wellington ",-41.33333333,174.8,"MR","2 Month",5.68,4.5,NA,NA,0.28,0.64,"SE","Mean Species Richness",4,4,"","4","9 treatments, 8 have kelp versus 1 kelp were removed ","",5,7,6,"kelp addition","Experimental","Spatial","no","no","yes","no","kelp","transect","Species Richness",-41.33333333,174.8,"Both",4,16,"2,35","2",NA,NA,"0,5","0,4","SE","12-04-06",NA,NA,NA,NA,NA,NA,NA,NA,0.56,1.28,0.194369895310129,0.194369895310129,0.0152974609794614,1.03750516405742,0.567276060340363,"Mixed","16.5","Multi","Erect","High",NA,120,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Macrocystis pyrifera, Lessonia trabeculata",593,"Perez-Matus et al. (2012)","29","Caleta Constitucion (Northern Chilean coast)",-23.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2006",9.75,7.5,NA,NA,1.25,2.5,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-23.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53553390593274,7.07106781186548,0.234839591077401,0.234839591077401,0.1000260123774,0.380470971784761,0.254523692511589,"Mixed","15.75","Multi","Erect","High",NA,8,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",584,"Perez-Matus et al. (2012)","29","Lagunillas (Northern Chilean coast)",-30.083,-70.5,"OA","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010",16.26515152,15.01515152,NA,NA,7.450757576,0.643939394,"SE","Mean abundance of Fish Assemblage",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-30.083,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0739248278666,1.82133564868222,0.0751548627935827,0.0751548627935825,0.18785116876656,0.0790001034478157,0.250195031760774,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",583,"Perez-Matus et al. (2012)","29","Caleta Angosta (Northern Chilean coast)",-28.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2008",9.439102564,1,NA,NA,1.511217949,0,"SE","Mean abundance of Fish Assemblage",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-28.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2743698383549,0,1.65241143689698,1.65241143689698,0.0209569403466512,2.63938768904565,0.46769898040893,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",591,"Perez-Matus et al. (2012)","29","Caleta Rio Seco (Northern Chilean coast)",-21,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2005",7.5,5,NA,NA,0.25,0.5,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-21,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707106781186548,1.4142135623731,0.348306694268216,0.348306694268216,0.00780949634755863,2.11372762102645,0.389620139246567,"Mixed","15.75","Multi","Erect","High",NA,8,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",592,"Perez-Matus et al. (2012)","29","Caleta Constitucion (Northern Chilean coast)",-23.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2006",9.75,4,NA,NA,2.25,0,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-23.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.36396103067893,0,0.765467842139571,0.765467842139571,0.0438074634937804,1.20786765411426,0.295592008432984,"Mixed","15.75","Multi","Erect","High",NA,8,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",595,"Perez-Matus et al. (2012)","29","Caleta Constitucion (Northern Chilean coast)",-23.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2006",5.75,3.5,NA,NA,2.375,1.75,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-23.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7175144212722,4.94974746830583,0.405465108108164,0.405465108108164,0.275034293552812,0.360478138953296,0.254060765270726,"Mixed","15.75","Multi","Erect","High",NA,8,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",588,"Perez-Matus et al. (2012)","29","Caleta Rio Seco (Northern Chilean coast)",-21,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2005",6,3.5,NA,NA,0.5,0.25,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-21,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4142135623731,0.707106781186548,0.441832752279039,0.441832752279039,0.00818846056941295,2.11372762102645,0.389620139246567,"Mixed","15.75","Multi","Erect","High",NA,8,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",589,"Perez-Matus et al. (2012)","29","Caleta Rio Seco (Northern Chilean coast)",-21,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2005",7.75,0,NA,NA,0.625,0,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-21,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76776695296637,0,2.16905370036952,2.16905370036952,0.00510204081632653,5.86078392170223,1.3233996305276,"Mixed","15.75","Multi","Erect","High",NA,8,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",590,"Perez-Matus et al. (2012)","29","Caleta Rio Seco (Northern Chilean coast)",-21,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2005",0.55,0,NA,NA,0.158113883,0,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-21,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447213595476146,0,0.438254930931155,0.438254930931155,0.0104058272621593,1.64409424793756,0.334470184253168,"Mixed","15.75","Multi","Erect","High",NA,8,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",586,"Perez-Matus et al. (2012)","29","Lagunillas (Northern Chilean coast)",-30.083,-70.5,"OA","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010",21.5,5.55,NA,NA,9.25,1.7,"SE","Mean abundance of Fish Assemblage",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-30.083,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1629509039023,4.80832611206852,1.23405025956321,1.23405025956321,0.236374387518066,0.801566680237775,0.270078410714606,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",587,"Perez-Matus et al. (2012)","29","Lagunillas (Northern Chilean coast)",-30.083,-70.5,"OA","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010",45.58571429,4.392857143,NA,NA,3.992857143,0.546428571,"SE","Mean abundance of Fish Assemblage",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-30.083,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2935054484978,1.5455333919527,2.15621860716575,2.15621860716575,0.0176128427581316,4.83106604351164,0.9793499723991,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",600,"Perez-Matus et al. (2012)","29","Lagunillas (Northern Chilean coast)",-30.083,-70.5,"OA","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010",9,6.75,NA,NA,1.5,0.375,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-30.083,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24264068711929,1.06066017177982,0.25489224962879,0.25489224962879,0.0248413111342352,0.68779785079981,0.264783308861401,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",602,"Perez-Matus et al. (2012)","29","Lagunillas (Northern Chilean coast)",-30.083,-70.5,"OA","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010",8,6.25,NA,NA,2,0.25,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-30.083,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65685424949238,0.707106781186548,0.216223108469636,0.216223108469636,0.0505717766914755,0.41036979415252,0.255262605248524,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",594,"Perez-Matus et al. (2012)","29","Caleta Constitucion (Northern Chilean coast)",-23.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2006",7.25,4,NA,NA,0.375,2,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-23.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06066017177982,5.65685424949238,0.500775287912489,0.500775287912489,0.162066115702479,0.754891326951096,0.267808153609562,"Mixed","15.75","Multi","Erect","High",NA,8,"Humboldtian","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",585,"Perez-Matus et al. (2012)","29","Lagunillas (Northern Chilean coast)",-30.083,-70.5,"OA","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010",5.645833333,10.14236111,NA,NA,0.489583333,0.935763889,"SE","Mean abundance of Fish Assemblage",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-30.083,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38475077888085,2.64673996600558,-0.516764069047394,-0.516764069047395,0.0124800002785261,-2.0123639030611,0.376550264948228,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",883,"Angel and Ojeda (2001)","6","Caleta Errazuriz/Carrizal Bajo",-25.734,-70.583,"MEABR","Quarterly for 1 year (July 1996-Nov 1997)",22,28,NA,NA,NA,NA,NA,"total relative abundance in terms of CPUE of total richness",12,12,"three 3x40 m gillnets","","Relative abundance in terms of CPUE of all species captured in the subtidal zones domiNAted by kelp (Lessonia trabeculata and Macrocystis pyrifera) at Caleta Errazuriz and no kelp atRCarrizal Bajo","Entire fish assemblages",NA,NA,10,"barren","Observational","Spatial","no","no","yes","no","no","Net","Species Richness",-25.734,-70.583,"Adult",120,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.231801614057324,-0.231801614057324,NA,NA,NA,"Mixed","15.75","Multi","Erect","High",NA,29,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",596,"Perez-Matus et al. (2012)","29","Caleta Angosta (Northern Chilean coast)",-28.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2007",7.25,1.5,NA,NA,0.375,0.75,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-28.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06066017177982,2.12132034355964,1.19392246847243,1.19392246847243,0.0920661157024794,3.24104901890722,0.578262460717483,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",601,"Perez-Matus et al. (2012)","29","Lagunillas (Northern Chilean coast)",-30.083,-70.5,"OA","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2010",7,5.5,NA,NA,0.5,0.5,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-30.083,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4142135623731,1.4142135623731,0.207639364778244,0.207639364778245,0.00982340976331361,1.00262904534792,0.281414531330477,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",598,"Perez-Matus et al. (2012)","29","Caleta Angosta (Northern Chilean coast)",-28.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2008",11,1.5,NA,NA,1.25,0.75,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-28.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53553390593274,2.12132034355964,1.56861591791385,1.56861591791385,0.100850694444444,3.08019465444516,0.546487472164768,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",597,"Perez-Matus et al. (2012)","29","Caleta Angosta (Northern Chilean coast)",-28.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2008",5,1.5,NA,NA,0.5,0.75,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-28.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4142135623731,2.12132034355964,0.8754687373539,0.8754687373539,0.0969444444444445,1.83522951127526,0.355252104970489,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis pyrifera, Lessonia trabeculata",599,"Perez-Matus et al. (2012)","29","Caleta Angosta (Northern Chilean coast)",-28.25,-70.5,"MR","SeasoNAlly or every 3 months for 1 year from August 2004 to September 2008",7.75,5,NA,NA,0.625,0.5,"SE","Mean Species Richness",8,8,"","200","Determine which observed kelp stand microhabitats found off Chile sustain greater richness abundance and diversity of fishes","From OrigiNAl data set",NA,NA,9,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-28.25,-70.5,"Adult",200,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76776695296637,1.4142135623731,0.377294231141468,0.377294231141468,0.012046485260771,1.62392054828281,0.332409935847973,"Mixed","15.75","Multi","Erect","High",NA,8,"Central Chile","Warm Temperate Southeastern Pacific","Temperate South America"
"Macrocystis, Pterygophora, Laminaria farlowii, Eisenia arborea, Egregia menziesii, Cystoseira osmundacea",817,"Holbrook et al. (1990)","18","Southern California Bight",33.688,-118.401,"OA",NA,16.6,18.3,NA,NA,1,1,"SE","Mean fish species richness",10,5,"/1000m3","16 - 30 m transects at each reef (variable widths by each taxa group)","Dense Macrocystis pyrifera reefs vs open barren reefs","no temporal replication",NA,NA,24,NA,"Observational","Spatial","no","no","yes","no","no","transect, video","Species Richness",33.688,-118.401,"Both",90,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16227766016838,2.23606797749979,-0.0922061938667333,-0.0922061938667337,0.00591294161427374,-0.549927941672936,0.310080691367754,"Mixed","6.416666667","Multi","Erect","High",NA,22,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
